sample_id,disturbance_type,disturbance_year,years_since_disturbance,lon,lat,NBR_2024,embedding_A00,embedding_A01,embedding_A02,embedding_A03,embedding_A04,embedding_A05,embedding_A06,embedding_A07,embedding_A08,embedding_A09,embedding_A10,embedding_A11,embedding_A12,embedding_A13,embedding_A14,embedding_A15,embedding_A16,embedding_A17,embedding_A18,embedding_A19,embedding_A20,embedding_A21,embedding_A22,embedding_A23,embedding_A24,embedding_A25,embedding_A26,embedding_A27,embedding_A28,embedding_A29,embedding_A30,embedding_A31,embedding_A32,embedding_A33,embedding_A34,embedding_A35,embedding_A36,embedding_A37,embedding_A38,embedding_A39,embedding_A40,embedding_A41,embedding_A42,embedding_A43,embedding_A44,embedding_A45,embedding_A46,embedding_A47,embedding_A48,embedding_A49,embedding_A50,embedding_A51,embedding_A52,embedding_A53,embedding_A54,embedding_A55,embedding_A56,embedding_A57,embedding_A58,embedding_A59,embedding_A60,embedding_A61,embedding_A62,embedding_A63,spatial_fold,std_A00,std_A01,std_A02,std_A03,std_A04,std_A05,std_A06,std_A07,std_A08,std_A09,std_A10,std_A11,std_A12,std_A13,std_A14,std_A15,std_A16,std_A17,std_A18,std_A19,std_A20,std_A21,std_A22,std_A23,std_A24,std_A25,std_A26,std_A27,std_A28,std_A29,std_A30,std_A31,std_A32,std_A33,std_A34,std_A35,std_A36,std_A37,std_A38,std_A39,std_A40,std_A41,std_A42,std_A43,std_A44,std_A45,std_A46,std_A47,std_A48,std_A49,std_A50,std_A51,std_A52,std_A53,std_A54,std_A55,std_A56,std_A57,std_A58,std_A59,std_A60,std_A61,std_A62,std_A63,PC1,PC2,PC3,x_m,y_m,B2,B3,B4,B8,B11,B12
wildfire_2023_0000,wildfire,2023,1,-76.978568,48.780272,0.085331,-0.002215,-0.172795,-0.075356,-0.214133,-0.051734,-0.221453,-0.084214,0.186082,0.130165,0.071111,0.113741,-0.147697,0.000984,-0.141730,-0.221453,-0.088827,-0.048228,0.179377,-0.135886,-0.010396,-0.006151,-0.075356,-0.051734,-0.066990,0.003014,0.153787,-0.166336,0.130165,0.346021,-0.113741,0.147697,0.062991,0.071111,0.098424,-0.124567,-0.022207,-0.035433,0.166336,0.124567,0.051734,-0.147697,-0.084214,-0.119093,0.141730,0.051734,0.147697,0.103406,-0.221453,0.084214,-0.153787,0.088827,0.062991,0.017778,0.079723,0.093564,0.186082,0.130165,0.041584,0.084214,-0.075356,-0.147697,0.019931,0.153787,0.093564,3,-1.619342,-1.832794,-1.393429,-0.951688,-0.255814,-0.461323,-0.602419,0.576814,2.112675,1.410159,0.810707,-1.777288,2.651040,-1.752272,0.324358,-1.325315,-0.866878,2.751825,-2.101640,0.359121,-1.457041,-0.103116,-0.636712,1.582153,0.271319,0.283430,-0.818809,2.212070,0.381858,-0.878431,0.922941,0.694486,-0.044032,1.017927,-0.812004,-2.600881,-2.746085,2.024141,2.200760,-0.437764,0.092135,-1.487079,1.581802,-1.357397,-0.508773,0.441699,0.158769,0.300123,-1.202310,0.736500,-0.677208,3.196343,1.524875,0.700669,1.135123,0.209806,-0.922739,0.281601,1.499185,-0.311523,1.672705,-1.929812,1.096372,0.552522,0.102423,-9.052963,-0.362109,-618795.066065,567796.628071,0.040000,0.051600,0.041900,0.157800,0.171900,0.129700
wildfire_2023_0001,wildfire,2023,1,-76.973448,48.782967,-0.245491,0.044844,-0.153787,-0.141730,-0.259900,-0.013841,-0.166336,-0.084214,0.071111,0.108512,0.108512,0.130165,-0.075356,-0.032541,-0.166336,-0.206936,-0.062991,-0.024606,0.141730,-0.093564,0.048228,0.015748,-0.108512,-0.048228,-0.035433,-0.017778,0.093564,-0.186082,0.108512,0.327812,-0.124567,0.141730,0.084214,0.130165,0.029773,-0.135886,-0.001538,-0.098424,0.066990,0.199862,0.124567,-0.179377,-0.093564,-0.113741,0.141730,0.084214,0.186082,0.113741,-0.284444,0.010396,-0.141730,0.130165,0.038447,0.032541,0.079723,0.084214,0.113741,0.075356,0.071111,0.113741,-0.153787,-0.141730,0.048228,0.135886,0.055363,1,-0.238904,-1.320414,-2.440758,-1.610301,0.910151,0.765074,-0.602419,-0.779683,1.604150,2.700107,1.027074,-0.475703,1.911680,-2.530653,0.614749,-1.065502,-0.095414,2.212883,-1.452546,1.427212,-0.882858,-0.793770,-0.556877,2.907173,-0.062375,-0.954672,-1.134144,1.762178,-0.098497,-1.127626,0.782154,1.287385,0.818687,-0.425032,-1.181330,-2.270533,-3.634683,0.486021,3.233538,1.368659,-0.490076,-1.636838,1.702762,-1.357397,0.067392,1.201489,0.367888,-1.022609,-2.519200,1.017316,0.540904,2.623487,1.970970,0.700669,0.912612,-1.726303,-1.900678,0.981485,1.950186,-2.626660,1.933488,-1.141819,0.707264,-0.373274,-1.153177,-10.628737,0.730175,-618387.898083,568048.596075,0.036750,0.041350,0.041550,0.087850,0.161150,0.146750
wildfire_2023_0002,wildfire,2023,1,-76.823339,48.830128,0.245606,0.044844,-0.147697,-0.027128,-0.166336,-0.019931,-0.244152,-0.079723,0.119093,0.079723,0.015748,0.071111,-0.059116,-0.103406,-0.124567,-0.276140,0.029773,-0.048228,0.004983,-0.062991,-0.027128,-0.004983,-0.051734,-0.059116,-0.108512,-0.048228,0.108512,-0.088827,0.066990,0.355309,-0.130165,0.130165,0.041584,0.003937,0.066990,-0.088827,0.108512,0.079723,0.119093,0.032541,0.051734,-0.141730,0.003014,-0.172795,0.199862,0.103406,0.153787,0.135886,-0.301423,0.103406,-0.251965,0.113741,0.008858,-0.048228,0.066990,0.059116,0.206936,0.179377,0.001538,0.044844,-0.084214,-0.172795,0.079723,0.135886,0.088827,0,-0.238904,-1.156253,-0.632441,-0.263862,0.722764,-0.966391,-0.449594,-0.213569,0.928044,-0.499302,0.249126,-0.183510,0.348851,-1.209352,-0.769530,-0.132650,-0.866878,0.255258,-0.983650,0.054273,-1.426396,0.388927,-0.804787,-0.161295,-0.551068,-0.647359,0.418955,0.899458,0.626904,-1.256471,0.509288,0.096432,-1.025376,0.357217,0.354181,-0.511626,-1.121615,1.292701,0.938476,-0.437764,0.201794,-0.089986,0.368024,0.258446,0.407853,0.562242,0.815999,-1.379126,-0.859919,-1.550149,0.056922,1.932901,-0.469543,0.290163,0.315345,0.767919,-0.044679,-0.667617,0.897851,-0.572997,0.575801,-0.264749,0.707264,0.437729,-2.168324,-3.160950,-0.709583,-606877.102601,571947.835168,0.030200,0.048750,0.036350,0.201300,0.177900,0.119100
wildfire_2023_0003,wildfire,2023,1,-77.040013,48.738769,-0.179895,0.024606,-0.166336,-0.093564,-0.276140,-0.035433,-0.172795,-0.044844,0.088827,0.055363,0.103406,0.141730,-0.153787,-0.001538,-0.160000,-0.259900,-0.199862,-0.066990,0.179377,-0.048228,0.041584,0.003937,-0.038447,-0.041584,-0.084214,0.007443,0.113741,-0.172795,0.141730,0.310096,-0.093564,0.172795,0.062991,0.093564,0.041584,-0.160000,-0.022207,-0.041584,0.075356,0.192910,0.088827,-0.153787,-0.113741,-0.088827,0.153787,0.075356,0.166336,0.103406,-0.259900,0.103406,-0.130165,0.066990,0.041584,0.032541,0.029773,0.071111,0.147697,0.103406,0.071111,0.071111,-0.119093,-0.135886,0.071111,0.113741,0.062991,1,-0.832583,-1.658684,-1.680740,-1.844002,0.245778,0.621356,0.737417,-0.570657,0.355953,2.524012,1.179422,-1.886860,2.595418,-2.330220,-0.444686,-2.441891,-1.479630,2.751825,-0.757222,1.306169,-1.192530,0.665701,-0.405609,0.858945,0.342402,-0.539863,-0.921956,2.452353,-0.565869,-0.414022,1.515119,0.694486,0.283981,-0.176781,-1.968154,-2.600881,-2.832862,0.615547,3.138191,0.482230,-0.019785,-1.960002,2.265855,-1.022259,-0.089744,0.810635,0.158769,-0.507208,-0.859919,1.286671,-1.320705,2.696709,1.970970,-0.909624,0.600803,-0.817517,-1.400184,0.981485,1.299054,-1.602552,2.188895,-0.504573,0.225893,-0.188413,0.150418,-10.535737,-1.529337,-623805.274704,563768.349410,0.041350,0.046150,0.053500,0.108850,0.199650,0.152000
wildfire_2023_0004,wildfire,2023,1,-77.019801,48.843603,-0.132090,0.017778,-0.113741,-0.051734,-0.251965,0.017778,-0.166336,-0.119093,0.130165,0.084214,0.103406,0.084214,-0.098424,-0.055363,-0.113741,-0.259900,-0.108512,-0.035433,0.192910,-0.066990,0.032541,0.048228,-0.051734,-0.017778,-0.075356,-0.004983,0.093564,-0.186082,0.141730,0.327812,-0.124567,0.192910,0.098424,0.098424,0.051734,-0.166336,0.035433,-0.027128,0.055363,0.192910,0.119093,-0.160000,-0.075356,-0.124567,0.147697,0.079723,0.199862,0.119093,-0.259900,0.022207,-0.160000,0.119093,0.051734,0.038447,0.079723,0.055363,0.130165,0.071111,0.084214,0.098424,-0.124567,-0.166336,0.048228,0.119093,0.007443,1,-1.032882,-0.240933,-1.020700,-1.496106,1.883051,0.765074,-1.789429,-0.082927,1.033505,2.524012,0.421733,-0.890749,1.408373,-0.866865,-0.444686,-1.523268,-0.449002,2.945562,-1.044975,1.141416,-0.031261,0.388927,0.136432,1.230881,0.142975,-0.954672,-1.134144,2.452353,-0.098497,-1.127626,1.989733,1.684369,0.354975,0.036560,-2.174896,-1.679643,-2.628935,0.306018,3.138191,1.232873,-0.133966,-1.345202,1.458060,-1.191538,-0.012267,1.474234,0.476181,-0.507208,-2.308497,0.591793,0.214624,2.933604,2.149409,0.700669,0.226048,-1.286727,-1.976411,1.292058,1.716229,-1.764158,0.858092,-1.141819,0.342224,-1.534619,-0.950639,-9.805362,1.446848,-620957.560948,575114.475003,0.038800,0.042000,0.045150,0.105700,0.183850,0.142700
wildfire_2023_0005,wildfire,2023,1,-77.040552,48.754131,0.138855,0.059116,-0.160000,-0.003937,-0.179377,-0.062991,-0.160000,-0.062991,0.141730,0.035433,0.055363,0.141730,-0.088827,-0.048228,-0.130165,-0.259900,-0.179377,-0.093564,0.098424,-0.013841,-0.035433,0.075356,-0.093564,-0.055363,-0.108512,0.044844,0.153787,-0.141730,0.119093,0.336855,-0.029773,0.166336,0.055363,0.084214,0.075356,-0.147697,0.041584,0.103406,-0.017778,0.084214,0.079723,-0.206936,-0.113741,-0.130165,0.221453,0.044844,0.098424,0.093564,-0.236463,0.179377,-0.160000,0.066990,-0.032541,-0.013841,-0.010396,0.062991,0.179377,0.206936,0.066990,-0.041584,-0.038447,-0.179377,0.071111,0.135886,0.113741,4,0.179739,-1.487891,-0.266507,-0.451531,-0.602197,0.906055,0.119837,0.053521,-0.112120,0.867023,1.179422,-0.718090,1.565742,-1.386434,-0.444686,-2.235897,-2.347527,1.592925,-0.229833,-0.097031,0.680016,-0.482399,-0.719349,-0.161295,0.942655,0.283430,-0.425868,1.982011,0.140058,1.054248,1.362721,0.481386,0.147384,0.533062,-1.566713,-1.581325,-0.787523,-0.826381,1.647245,0.256427,-0.996543,-1.960002,1.331538,0.858616,-0.630989,-0.533608,-0.040391,-0.015059,0.495380,0.591793,-1.320705,0.966656,0.569488,-2.204600,0.407570,0.030354,0.447035,0.883793,-0.422265,0.777953,0.288133,-0.504573,0.707264,1.041509,3.767884,-4.935571,-2.673092,-623641.985303,565461.482022,0.027900,0.037650,0.033250,0.131200,0.152050,0.104500
wildfire_2023_0006,wildfire,2023,1,-76.832502,48.848454,0.278748,0.012057,-0.135886,-0.044844,-0.166336,-0.059116,-0.206936,-0.013841,0.141730,0.035433,0.027128,0.124567,-0.093564,-0.066990,-0.103406,-0.276140,-0.066990,-0.035433,-0.002215,-0.019931,-0.041584,0.055363,-0.113741,-0.032541,-0.147697,0.035433,0.186082,-0.113741,0.098424,0.327812,-0.119093,0.153787,0.022207,0.103406,0.079723,-0.093564,0.035433,0.098424,0.071111,0.059116,0.032541,-0.192910,-0.103406,-0.166336,0.199862,0.071111,0.113741,0.108512,-0.206936,0.135886,-0.130165,0.059116,-0.059116,-0.044844,0.108512,0.113741,0.244152,0.199862,0.007443,0.029773,-0.088827,-0.192910,0.119093,0.179377,0.160000,2,-1.200700,-0.837881,-0.911987,-0.263862,-0.482950,-0.138299,1.792538,0.053521,-0.112120,-0.106802,0.953331,-0.803313,1.151972,-0.539945,-0.769530,-1.105711,-0.449002,0.152225,-0.323234,-0.209107,0.155832,-0.902685,-0.199718,-1.806593,0.791605,0.947376,0.021102,1.552569,-0.098497,-1.001612,1.066632,-0.444910,0.427767,0.624863,0.199627,-1.679643,-0.857813,0.549832,1.302986,-0.913781,-0.738787,-1.794479,0.514011,0.258446,-0.165038,-0.230423,0.262084,0.604972,-0.280487,1.286671,-1.552726,0.346421,-0.367312,1.628768,1.615278,1.763961,0.320813,-0.527640,0.667653,-0.709182,-0.303335,0.831588,1.652624,2.162601,2.497340,-3.248886,-1.243041,-607306.522732,574040.280076,0.027700,0.042150,0.035800,0.170100,0.159200,0.099100
wildfire_2023_0007,wildfire,2023,1,-77.007943,48.765988,0.261681,0.055363,-0.103406,-0.051734,-0.259900,-0.062991,-0.186082,-0.048228,0.048228,-0.000984,0.015748,0.035433,-0.124567,-0.113741,-0.113741,-0.284444,0.079723,-0.048228,-0.071111,-0.062991,-0.012057,0.007443,-0.035433,-0.113741,-0.119093,-0.071111,0.130165,-0.048228,0.015748,0.374256,-0.119093,0.119093,0.017778,-0.019931,0.015748,-0.084214,0.160000,0.113741,0.135886,-0.048228,0.059116,-0.160000,-0.006151,-0.214133,0.206936,0.119093,0.166336,0.113741,-0.228897,0.130165,-0.236463,0.113741,-0.059116,-0.035433,0.027128,-0.006151,0.186082,0.186082,-0.017778,-0.007443,-0.051734,-0.179377,0.079723,0.075356,0.113741,2,0.069665,0.037643,-1.020700,-1.610301,-0.602197,0.325707,0.622275,-1.049677,-0.967367,-0.499302,-0.220883,-1.361135,0.120938,-0.866865,-0.935643,0.369654,-0.866878,-0.834073,-0.983650,0.328860,-1.100596,0.728488,-2.048540,-0.605551,-0.918329,-0.202199,1.067307,-0.165202,1.126733,-1.001612,0.248032,-0.568645,-1.374058,-0.719831,0.504722,0.311295,-0.641738,1.552705,-0.169398,-0.254681,-0.133966,-0.236789,-0.566292,0.455083,0.686114,0.810635,0.367888,0.143824,-0.382546,-1.189099,0.056922,0.346421,-0.082927,-0.994898,-1.237841,0.209806,0.074957,-1.125457,0.099205,0.385742,0.288133,-0.264749,-0.608484,1.041509,-4.140196,-0.733711,-1.169849,-621116.405462,566481.087748,0.035600,0.051400,0.044950,0.197350,0.177800,0.115750
wildfire_2023_0008,wildfire,2023,1,-76.974795,48.799675,-0.392842,0.041584,-0.160000,-0.221453,-0.301423,0.027128,-0.147697,-0.048228,-0.008858,0.041584,0.124567,0.003014,-0.124567,-0.059116,-0.147697,-0.236463,0.062991,-0.029773,0.048228,-0.071111,0.066990,-0.019931,-0.062991,-0.108512,-0.119093,-0.075356,0.055363,-0.079723,0.103406,0.364721,-0.172795,0.108512,0.055363,0.038447,-0.001538,-0.098424,0.044844,-0.071111,0.088827,0.147697,0.160000,-0.147697,-0.024606,-0.153787,0.124567,0.113741,0.228897,0.093564,-0.259900,-0.006151,-0.147697,0.147697,-0.006151,-0.015748,0.062991,0.041584,0.108512,0.055363,0.022207,0.124567,-0.172795,-0.147697,0.038447,0.141730,0.084214,1,-0.334542,-1.487891,-3.698717,-2.207833,2.170757,1.179805,0.622275,-1.723208,0.032347,3.253850,-0.647944,-1.361135,1.325619,-1.941030,0.024123,0.201395,-0.264172,0.874336,-1.108186,1.769045,-1.818324,0.154438,-1.929487,-0.605551,-0.986450,-1.740025,0.564343,1.656095,0.875196,-2.237677,-0.001611,0.481386,-0.521224,-1.083156,0.041057,-1.529216,-3.249392,0.824122,2.518018,2.247460,0.092135,-0.532366,0.797643,-1.834455,0.591178,2.048946,-0.040391,-0.507208,-2.814402,0.878341,1.057514,1.582583,0.511867,0.161260,-0.101863,-1.866243,-2.257390,-0.177698,2.115552,-3.187740,1.672705,-1.414191,0.834292,0.325918,-5.734091,-9.431942,-0.119088,-618267.225858,569896.719745,0.032700,0.033600,0.037700,0.070550,0.161950,0.159550
wildfire_2023_0009,wildfire,2023,1,-77.026269,48.739847,-0.261007,0.035433,-0.135886,-0.160000,-0.327812,-0.024606,-0.153787,-0.035433,0.008858,0.019931,0.084214,0.051734,-0.141730,-0.048228,-0.108512,-0.301423,0.008858,-0.041584,0.059116,-0.108512,0.044844,-0.013841,-0.051734,-0.093564,-0.119093,-0.062991,0.103406,-0.088827,0.103406,0.355309,-0.160000,0.141730,0.055363,0.079723,-0.012057,-0.130165,0.079723,-0.079723,0.098424,0.098424,0.079723,-0.166336,-0.055363,-0.141730,0.141730,0.113741,0.199862,0.098424,-0.251965,0.059116,-0.179377,0.130165,0.006151,0.007443,0.048228,0.032541,0.147697,0.124567,-0.001538,0.124567,-0.108512,-0.179377,0.059116,0.103406,0.071111,1,-0.514991,-0.837881,-2.729040,-2.587598,0.578911,1.044299,1.057722,-1.514181,-0.476178,1.862065,-0.006138,-1.669929,1.565742,-0.701459,-1.275253,-0.342975,-0.649904,1.030206,-1.681804,1.365569,-1.658650,0.388927,-1.589136,-0.605551,-0.788011,-0.752326,0.418955,1.656095,0.626904,-1.943174,0.782154,0.481386,0.081781,-1.304255,-0.994660,-0.971754,-3.370880,0.972695,1.842156,0.256427,-0.250409,-1.024994,1.070152,-1.357397,0.591178,1.474234,0.057944,-0.340575,-1.650053,0.140481,0.540904,1.869729,1.212608,-0.314688,-0.317055,-0.817517,-1.022618,-0.740521,2.115552,-1.290236,0.288133,-0.838614,0.001253,0.008374,-4.543249,-7.619826,-0.495080,-622791.918590,563767.122280,0.046300,0.050100,0.052950,0.103700,0.190200,0.169700
wildfire_2023_0010,wildfire,2023,1,-76.855140,48.833901,-0.075380,0.066990,-0.135886,-0.119093,-0.259900,0.003937,-0.186082,-0.062991,0.075356,0.075356,0.059116,0.029773,-0.071111,-0.103406,-0.124567,-0.267958,0.010396,-0.062991,0.071111,-0.048228,0.041584,0.012057,-0.035433,-0.075356,-0.093564,-0.035433,0.066990,-0.119093,0.108512,0.374256,-0.153787,0.141730,0.055363,0.041584,0.059116,-0.124567,0.075356,-0.001538,0.066990,0.124567,0.113741,-0.179377,0.007443,-0.172795,0.153787,0.084214,0.206936,0.130165,-0.301423,0.006151,-0.206936,0.147697,-0.007443,-0.013841,0.035433,0.032541,0.179377,0.108512,0.038447,0.088827,-0.113741,-0.166336,0.066990,0.141730,0.027128,4,0.410714,-0.837881,-2.083559,-1.610301,1.457171,0.325707,0.119837,-0.729604,0.825472,0.996442,-0.295437,-0.399334,0.348851,-1.209352,-0.605877,-0.327510,-1.349043,1.201928,-0.757222,1.306169,-0.979630,0.728488,-1.174551,0.466347,-0.345718,-1.501004,-0.064363,1.762178,1.126733,-1.800170,0.782154,0.481386,-0.475392,0.191717,-0.812004,-1.041559,-2.267942,0.486021,2.200760,1.100137,-0.490076,-0.019047,0.368024,-1.022259,0.067392,1.614259,0.700237,-1.379126,-2.594921,-0.501385,1.057514,1.552433,0.569488,-0.727177,-0.317055,0.030354,-1.309085,0.207238,1.569654,-1.444578,0.858092,-0.619346,0.834292,-1.057558,-3.425814,-6.943632,-0.591008,-609136.624090,572632.819672,0.032200,0.042900,0.036300,0.145000,0.180500,0.155500
wildfire_2023_0011,wildfire,2023,1,-76.852714,48.855730,0.074905,0.019931,-0.135886,0.004983,-0.153787,-0.044844,-0.221453,-0.071111,0.124567,0.079723,0.032541,0.084214,-0.066990,-0.084214,-0.108512,-0.276140,-0.048228,-0.013841,0.088827,-0.003014,-0.059116,0.059116,-0.062991,-0.010396,-0.119093,0.003937,0.179377,-0.172795,0.088827,0.364721,-0.103406,0.166336,0.051734,0.103406,0.084214,-0.135886,0.044844,0.124567,0.075356,0.075356,0.066990,-0.166336,-0.075356,-0.172795,0.199862,0.059116,0.088827,0.093564,-0.259900,0.124567,-0.179377,0.084214,-0.032541,0.007443,0.066990,0.093564,0.236463,0.166336,0.029773,0.022207,-0.071111,-0.160000,0.124567,0.179377,0.079723,2,-0.969724,-0.837881,-0.125763,-0.083274,-0.043820,-0.461323,-0.156504,-0.148974,0.928044,0.079901,0.421733,-0.325179,0.772117,-0.701459,-0.769530,-0.917038,0.256165,1.455547,-0.063785,-0.528526,0.254217,0.154438,0.304506,-0.605551,0.286128,0.809529,-0.921956,1.353185,0.875196,-0.640563,1.362721,0.379992,0.427767,0.719250,-1.181330,-1.529216,-0.489010,0.615547,1.525742,-0.059392,-0.250409,-1.345202,0.368024,0.258446,-0.377826,-0.723556,-0.040391,-0.507208,-0.482410,0.140481,-0.813158,0.966656,1.212608,0.290163,1.135123,1.558167,-0.277365,0.001647,0.552084,-0.186233,1.135007,0.984047,1.652624,0.217088,2.086523,-3.957242,0.912724,-608679.178727,575011.879202,0.033350,0.043700,0.042800,0.137100,0.176400,0.121650
wildfire_2023_0012,wildfire,2023,1,-76.996624,48.808030,-0.179355,-0.006151,-0.147697,-0.079723,-0.228897,-0.041584,-0.179377,-0.075356,0.141730,0.130165,0.075356,0.135886,-0.135886,-0.002215,-0.119093,-0.236463,-0.135886,-0.051734,0.166336,-0.075356,-0.027128,0.015748,-0.079723,-0.012057,-0.088827,-0.010396,0.166336,-0.179377,0.135886,0.327812,-0.113741,0.179377,0.084214,0.119093,0.051734,-0.135886,-0.035433,-0.051734,0.135886,0.186082,0.075356,-0.147697,-0.130165,-0.098424,0.130165,0.079723,0.130165,0.071111,-0.206936,0.084214,-0.119093,0.079723,0.055363,0.001538,0.088827,0.124567,0.166336,0.130165,0.059116,0.098424,-0.130165,-0.147697,0.066990,0.166336,0.093564,1,-1.734830,-1.156253,-1.462345,-1.164143,0.056498,0.474900,-0.300955,0.053521,2.112675,1.556551,1.102437,-1.564784,2.580496,-1.036163,0.024123,-1.798545,-0.981392,2.565133,-1.173284,0.054273,-0.882858,-0.194092,0.266690,0.665229,0.056096,0.541421,-1.027068,2.330933,-0.098497,-0.878431,1.670421,1.287385,0.656927,0.036560,-1.181330,-2.812265,-2.976044,1.552705,3.044532,0.148103,0.092135,-2.223065,2.048960,-1.678855,-0.012267,0.094679,-0.494726,0.604972,-1.202310,1.544563,-0.945483,3.018312,1.034170,0.994170,1.872923,-0.318673,-0.922739,0.697157,1.716229,-1.929395,1.672705,-0.619346,1.369149,0.552522,1.561997,-9.947073,0.935375,-619742.700600,571003.865707,0.033600,0.039200,0.040100,0.095800,0.167600,0.137100
wildfire_2023_0013,wildfire,2023,1,-77.009290,48.759790,0.200000,0.010396,-0.160000,-0.041584,-0.192910,-0.038447,-0.179377,-0.093564,0.147697,0.051734,0.059116,0.166336,-0.103406,-0.012057,-0.130165,-0.251965,-0.199862,-0.079723,0.119093,-0.029773,-0.035433,0.062991,-0.084214,-0.038447,-0.084214,0.012057,0.166336,-0.130165,0.130165,0.292872,-0.119093,0.166336,0.088827,0.093564,0.075356,-0.130165,-0.022207,0.027128,0.051734,0.153787,0.062991,-0.192910,-0.166336,-0.124567,0.206936,0.075356,0.141730,0.124567,-0.199862,0.172795,-0.135886,0.059116,0.017778,-0.007443,0.055363,0.093564,0.153787,0.192910,0.059116,0.010396,-0.093564,-0.147697,0.059116,0.160000,0.130165,2,-1.249421,-1.487891,-0.860543,-0.646282,0.153031,0.474900,-0.920629,0.123922,0.270718,0.996442,1.503566,-0.980399,2.363436,-1.386434,-0.285955,-2.441891,-1.895497,1.888814,-0.474187,-0.097031,0.355828,-0.287632,-0.334178,0.858945,0.416446,0.541421,-0.241186,2.212070,-1.020259,-1.001612,1.362721,1.416276,0.283981,0.533062,-0.994660,-2.600881,-1.863561,0.249827,2.601552,-0.158562,-0.738787,-2.802396,1.458060,0.455083,-0.089744,0.323590,0.586964,0.753521,0.377957,1.153426,-1.552726,2.141082,0.762796,-0.084646,1.135123,-0.654528,0.196787,0.697157,0.371684,-0.848998,1.672705,-0.838614,1.231424,1.439556,3.005189,-7.920467,-1.355237,-621295.669868,565811.536255,0.030000,0.037300,0.032400,0.171900,0.153400,0.098200
wildfire_2023_0014,wildfire,2023,1,-76.986653,48.796172,0.176782,0.032541,-0.166336,-0.093564,-0.228897,-0.012057,-0.186082,-0.059116,0.055363,0.035433,0.027128,0.066990,-0.135886,-0.088827,-0.135886,-0.292872,0.013841,-0.059116,0.007443,-0.066990,0.006151,0.007443,-0.088827,-0.075356,-0.130165,-0.048228,0.124567,-0.055363,0.093564,0.374256,-0.160000,0.119093,0.048228,0.032541,0.051734,-0.075356,0.071111,0.013841,0.113741,0.062991,0.079723,-0.186082,-0.051734,-0.179377,0.199862,0.119093,0.179377,0.098424,-0.259900,0.108512,-0.199862,0.124567,-0.010396,-0.048228,0.079723,0.062991,0.166336,0.160000,0.006151,0.071111,-0.084214,-0.179377,0.048228,0.141730,0.098424,3,-0.599803,-1.658684,-1.680740,-1.164143,0.965043,0.325707,0.251727,-0.965485,-0.112120,-0.106802,0.194832,-1.564784,0.670371,-1.567407,-1.104218,-0.292868,-1.222475,0.290483,-1.044975,0.660607,-1.100596,-0.383734,-1.174551,-1.070470,-0.551068,-0.317283,0.953354,1.451599,1.126733,-1.943174,0.248032,0.282035,-0.607496,0.036560,0.793759,-1.109399,-2.050999,1.209842,1.356143,0.256427,-0.613301,-0.966864,0.219257,0.258446,0.686114,1.068769,0.057944,-0.507208,-0.768834,-0.336620,0.375951,1.483518,-0.469543,0.700669,0.407570,-0.318673,-0.390415,-0.558260,1.299054,-0.572997,0.288133,-1.141819,0.834292,0.670296,-2.770645,-5.103781,-0.719303,-619174.131017,569614.215664,0.031250,0.047000,0.035850,0.178100,0.163000,0.116650
wildfire_2023_0015,wildfire,2023,1,-76.951619,48.810455,-0.216421,0.008858,-0.124567,-0.119093,-0.179377,-0.012057,-0.166336,-0.084214,0.119093,0.135886,0.010396,0.160000,-0.051734,-0.017778,-0.130165,-0.172795,-0.079723,0.015748,0.160000,-0.119093,-0.000246,0.035433,-0.160000,0.010396,-0.032541,0.006151,0.153787,-0.192910,0.062991,0.318893,-0.098424,0.141730,0.124567,0.199862,0.048228,-0.135886,-0.044844,-0.088827,0.135886,0.160000,0.075356,-0.153787,-0.141730,-0.119093,0.119093,0.098424,0.135886,0.079723,-0.228897,0.044844,-0.079723,0.108512,0.022207,-0.004983,0.093564,0.160000,0.141730,0.113741,0.038447,0.119093,-0.172795,-0.135886,0.124567,0.228897,0.055363,4,-1.294533,-0.532774,-2.083559,-0.451531,0.965043,0.765074,-0.602419,-0.213569,2.247030,-0.683884,1.420099,-0.050696,2.237270,-1.386434,1.297659,-1.233762,1.222504,2.474428,-1.844078,0.544048,-0.366739,-1.866269,0.777917,3.028569,0.321669,0.283430,-1.243185,0.816381,-0.333806,-0.525876,0.782154,2.414751,1.836876,-0.037140,-1.181330,-2.962691,-3.499311,1.552705,2.686773,0.148103,-0.019785,-2.408293,1.581802,-1.986635,0.319464,0.207917,-0.320461,0.143824,-1.904651,2.461515,-0.097155,2.244455,0.837145,1.146870,2.716123,-0.977213,-1.215792,0.207238,2.031929,-3.187740,2.188895,0.984047,2.729023,-0.373274,2.356290,-9.287580,2.917684,-616443.731334,570881.681440,0.034300,0.037800,0.042100,0.087000,0.165000,0.136300
